R,TB,BEL,20090523,4,D,Claiming,19000,"FOR THREE YEAR OLDS AND UPWARD. Three Year Olds, 119 lbs.; Older, 123 lbs. Non-winners of two races since March 23 Allowed 2 ","lbs. A Race Since Then Allowed 3 lbs. Claiming Price $10,000 (Races where entered for $7,500 or less not considered).",,,3U   ,650,F, ,D,106,FT,Clear,Good,2:37,-7,21.83,44.12,68.99,0,0,76.16,125,115,102,76.41,11400,3800,1900,950,570,95,95,95,95,0,2 Pick 3, 1-1-5,37.8,68005,2 Daily Double, 1-5,11.2,56915,2 Exacta, 5-8,9.9,311753,2 Quinella, 5-8,7.1,22642,2 Trifecta, 5-8-1,28,318903,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,"R FAST FAVORITE;10000;Naipaul Chatterpaul,Naipaul Chatterpaul;",,0
H,BEL,20090523,4,D,02May09  2BEL 4,TB,Brooker D,120,5,H,L,E   Coa,9.3,1A,5,10000,3,3,6,3,9,0,0,0,0,2,8,3,10,3,0,81,Galluscio Dominic G,"Robbins, Sanford and Team Five Star Stable","BROOKER D inside trip, no rally",,0,0,3.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,4,D,03May09  1BEL 6,TB,Corrupt Judge,120,6,G,Lf,M   Studart,79.75,2,1,10000,2,4,7.5,5,11.5,0,0,0,0,5,11,4,11,4,0,80,Correa Jeff,Bill O'Toole Stables,CORRUPT JUDGE no late bid,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,4,D,07Nov08  7AQU 7,TB,Remorse,120,6,G,Lbf,R R Rodriguez,66.75,3,2,10000,9,7,12.5,7,15,0,0,0,0,7,16,7,21.3,7,0,58,D'Alessandro Ralph,"Kingfield Stables and Spindel, Howard","REMORSE lunged steadied break, never close",,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,4,D,14Nov08  8AQU 7,TB,Smart Thinker,113,6,H,Lb,A J Casey(7),49.25,4,3,10000,6,8,15.5,8,18.5,0,0,0,0,9,18.5,8,21.8,8,0,57,Caetano John,"Dhanhai, Bridjnarine",SMART THINKER outrun,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,4,D,22Apr09  2AQU 1,TB,R Fast Favorite,121,6,G,Lb,R A Dominguez,0.5,5,4,10000,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,102,Maker Michael J,Maker,"R FAST FAVORITE long lead early, never threatened",Chestnut Gelding; 2003; Montbrook-Silver Scandal (Silver Deputy) Bred By:Gilbert G. Campbell (Florida),3,2.4,2.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,4,D,09May09  1BEL 3,TB,Golden Man,120,7,G,Lbf,R   Maragh,8.7,6,6,10000,4,6,9.5,6,13,0,0,0,0,6,12.5,6,12.6,6,0,76,Arroyo Enrique,"Arias, Ramon, F.",GOLDEN MAN never reached contention,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,4,D,09May09  1BEL 8,TB,Goodson,120,4,C,Lf,J E Bermudez,29,7,7,10000,7,9,18.5,9,19,0,0,0,0,8,18,9,22.8,9,0,55,Mena II Pastor,Griffin,"GOODSON steadied break, never close",,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,4,D,21Feb09  4AQU 1,TB,Banking Holiday,120,4,C,Laf,J   Lezcano,3.9,8,8,10000,5,5,8.5,4,11,0,0,0,0,3,9,2,5.5,2,0,91,Violette Jr Richard A,"Klaravich Stables, Inc. and Lawrence, William","BANKING HOLIDAY 3wide move, 2nd best",,0,3.2,2.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,4,D,25Apr09  3AQU 1,TB,Americanus,120,5,G,Lbf,C H Velasquez,16.9,9,9,10000,8,2,5.5,2,8,0,0,0,0,4,9.5,5,12.5,5,0,76,Gyarmati Leah,Zamarota Racing Stables,"AMERICANUS chased winner outside, no late response",,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,4,D,(09MAY09  1BEL 5),TB,Ferocious Won,0,0,,,,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,TB,BEL,20090523,5,D,Maiden Special Weight,44000,"INNER TURF (UP TO $8,360 NYSBFOA) FOR MAIDENS, THREE YEARS OLD  AND UPWARD. Three Year Olds, 118 lbs.; Older, 123 lbs.",,,,3U   ,1000,F, ,I,89,FM,Clear,Good,3:08,12,26.27,52.44,76.55,99.57,0,123.83,54,75,89,122.4,26400,8800,4400,2200,1320,176,176,176,176,176,2 Pick 3, 1-5-1,54,75844,2 Pick 4, 1-1-5-1,114.5,217335,2 Daily Double, 5-1,12.4,62671,2 Exacta, 1-4,24.4,391322,2 Trifecta, 1-4-5,153.5,276828,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0
H,BEL,20090523,5,D,06Dec08  7AQU 3,TB,En Fuego,118,3,C,Lb,R   Maragh,2.95,1,5,0,0,1,0,1,0,1,0,1,0,1,0,3,0.8,3,0,88,Clement Christophe,"Kelly, Jon and Sarah, Cimpl, Don and Joan and Wiltz, Jim and Joan","EN FUEGO set pace, long lead stretch, faltered late",,7.9,3.8,4.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,BEL,20090523,5,D,,TB,Armstrong Mill,118,3,C,L,R A Dominguez,2.95,1A,9,0,0,5,3.5,6,4.5,6,5,8,8.6,5,6.6,1,0,1,0,89,Clement Christophe,Overbrook Farm,"ARMSTRONG MILL rated midpack, swung 5wide, strong finish",Dark Bay or Brown Colt; 2006; Dynaformer-Imaginary Cat (Storm Cat) Bred By:Overbrook Farm (Kentucky),7.9,3.8,4.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
